trial,val_acc,val_loss,batch_size,lr_fc,l2,fine_tune,lr_backbone,optimizer
trial_5_bs16_lrfc0.001_l20.0001_ftTrue_lrbb0.0001_SGD,0.9283439517021179,0.2681243419647217,16,0.001,0.0001,True,0.0001,SGD
trial_12_bs16_lrfc0.0001_l20.0001_ftTrue_lrbb1e-05_AdamW,0.9259554147720337,0.27841490507125854,16,0.0001,0.0001,True,1e-05,AdamW
trial_23_bs16_lrfc0.001_l21e-05_ftTrue_lrbb1e-05_AdamW,0.9259554147720337,0.26723453402519226,16,0.001,1e-05,True,1e-05,AdamW
trial_27_bs16_lrfc0.0001_l21e-05_ftTrue_lrbb1e-05_AdamW,0.9203821420669556,0.2850472331047058,16,0.0001,1e-05,True,1e-05,AdamW
trial_8_bs16_lrfc0.001_l20.0001_ftTrue_lrbb1e-05_AdamW,0.9171974658966064,0.2642103433609009,16,0.001,0.0001,True,1e-05,AdamW
trial_16_bs16_lrfc0.01_l21e-05_ftTrue_lrbb0.0001_SGD,0.9164012670516968,0.31126222014427185,16,0.01,1e-05,True,0.0001,SGD
trial_25_bs16_lrfc0.0001_l21e-05_ftTrue_lrbb0.0001_AdamW,0.9148089289665222,0.30207738280296326,16,0.0001,1e-05,True,0.0001,AdamW
trial_20_bs16_lrfc0.001_l21e-05_ftTrue_lrbb0.0001_SGD,0.9116241931915283,0.28761833906173706,16,0.001,1e-05,True,0.0001,SGD
trial_22_bs16_lrfc0.001_l21e-05_ftTrue_lrbb1e-05_SGD,0.9028662443161011,0.36228716373443604,16,0.001,1e-05,True,1e-05,SGD
trial_1_bs16_lrfc0.01_l20.0001_ftTrue_lrbb0.0001_SGD,0.9012739062309265,0.32369327545166016,16,0.01,0.0001,True,0.0001,SGD
trial_19_bs16_lrfc0.01_l21e-05_ftTrue_lrbb1e-05_AdamW,0.9012739062309265,0.6176971197128296,16,0.01,1e-05,True,1e-05,AdamW
trial_10_bs16_lrfc0.0001_l20.0001_ftTrue_lrbb0.0001_AdamW,0.8988853693008423,0.3423835337162018,16,0.0001,0.0001,True,0.0001,AdamW
trial_4_bs16_lrfc0.01_l20.0001_ftTrue_lrbb1e-05_AdamW,0.8988853693008423,0.541046142578125,16,0.01,0.0001,True,1e-05,AdamW
trial_18_bs16_lrfc0.01_l21e-05_ftTrue_lrbb1e-05_SGD,0.8980891704559326,0.3370860815048218,16,0.01,1e-05,True,1e-05,SGD
trial_6_bs16_lrfc0.001_l20.0001_ftTrue_lrbb0.0001_AdamW,0.8909235596656799,0.38318803906440735,16,0.001,0.0001,True,0.0001,AdamW
trial_7_bs16_lrfc0.001_l20.0001_ftTrue_lrbb1e-05_SGD,0.8869426846504211,0.37830090522766113,16,0.001,0.0001,True,1e-05,SGD
trial_21_bs16_lrfc0.001_l21e-05_ftTrue_lrbb0.0001_AdamW,0.8837579488754272,0.43072018027305603,16,0.001,1e-05,True,0.0001,AdamW
trial_3_bs16_lrfc0.01_l20.0001_ftTrue_lrbb1e-05_SGD,0.8694267272949219,0.4877464473247528,16,0.01,0.0001,True,1e-05,SGD
trial_2_bs16_lrfc0.01_l20.0001_ftTrue_lrbb0.0001_AdamW,0.8614649772644043,0.6081012487411499,16,0.01,0.0001,True,0.0001,AdamW
trial_17_bs16_lrfc0.01_l21e-05_ftTrue_lrbb0.0001_AdamW,0.7898089289665222,1.0381691455841064,16,0.01,1e-05,True,0.0001,AdamW
trial_9_bs16_lrfc0.0001_l20.0001_ftTrue_lrbb0.0001_SGD,0.7834395170211792,1.0011717081069946,16,0.0001,0.0001,True,0.0001,SGD
trial_24_bs16_lrfc0.0001_l21e-05_ftTrue_lrbb0.0001_SGD,0.7794585824012756,1.0061167478561401,16,0.0001,1e-05,True,0.0001,SGD
trial_11_bs16_lrfc0.0001_l20.0001_ftTrue_lrbb1e-05_SGD,0.6719745397567749,1.6169377565383911,16,0.0001,0.0001,True,1e-05,SGD
trial_26_bs16_lrfc0.0001_l21e-05_ftTrue_lrbb1e-05_SGD,0.6536624431610107,1.6098227500915527,16,0.0001,1e-05,True,1e-05,SGD
